,year,month,Mkt-RF,SMB,HML,RF
201504,2015,4,0.59,-2.97,1.86,0
201505,2015,5,1.36,0.87,-1.37,0
201506,2015,6,-1.53,2.83,-0.79,0
201507,2015,7,1.54,-4.14,-4.12,0
201508,2015,8,-6.04,0.48,2.68,0
201509,2015,9,-3.08,-2.64,0.52,0
201510,2015,10,7.75,-1.97,-0.08,0
201511,2015,11,0.56,3.64,-0.52,0
201512,2015,12,-2.17,-2.82,-2.58,0.01
201601,2016,1,-5.77,-3.36,2.1,0.01
201602,2016,2,-0.07,0.78,-0.48,0.02
201603,2016,3,6.96,0.87,1.12,0.02
201604,2016,4,0.92,0.68,3.26,0.01
201605,2016,5,1.78,-0.26,-1.81,0.01
201606,2016,6,-0.05,0.65,-1.49,0.02
201607,2016,7,3.95,2.65,-1.1,0.02
201608,2016,8,0.5,1.14,3.33,0.02
201609,2016,9,0.25,2.01,-1.5,0.02
201610,2016,10,-2.02,-4.36,4.17,0.02
201611,2016,11,4.86,5.51,8.32,0.01
201612,2016,12,1.82,0.05,3.55,0.03
201701,2017,1,1.94,-1.01,-2.76,0.04
201702,2017,2,3.57,-2,-1.78,0.04
201703,2017,3,0.17,1.19,-3.16,0.03
201704,2017,4,1.09,0.73,-1.87,0.05
201705,2017,5,1.06,-2.54,-3.77,0.06
201706,2017,6,0.78,2.15,1.35,0.06
201707,2017,7,1.87,-1.4,-0.28,0.07
201708,2017,8,0.16,-1.69,-2.24,0.09
201709,2017,9,2.51,4.52,3.03,0.09
201710,2017,10,2.25,-1.94,-0.06,0.09
201711,2017,11,3.12,-0.66,-0.05,0.08
201712,2017,12,1.06,-1.26,0.14,0.09
201801,2018,1,5.58,-3.03,-1.37,0.11
201802,2018,2,-3.65,0.28,-1.19,0.11
201803,2018,3,-2.35,3.93,-0.11,0.12
201804,2018,4,0.29,1.1,0.53,0.14
201805,2018,5,2.65,5.24,-3.16,0.14
201806,2018,6,0.48,1.17,-2.39,0.14
201807,2018,7,3.19,-2.17,0.4,0.16
201808,2018,8,3.44,1.26,-4.11,0.16
201809,2018,9,0.06,-2.35,-1.35,0.15
201810,2018,10,-7.68,-4.69,3.41,0.19
201811,2018,11,1.69,-0.78,0.2,0.18
201812,2018,12,-9.55,-2.58,-1.51,0.19
201901,2019,1,8.41,3.02,-0.6,0.21
201902,2019,2,3.4,2.02,-2.84,0.18
201903,2019,3,1.1,-3.15,-4.08,0.19
